mytil
date,close,percentage,open,high,low,volume,turnover
10/3/2023,"24,1800","-2,5000%","24,4","24,58","24,12",152.794,"3.711.913,54"
09/3/2023,"24,8000","1,0595%","24,54","24,92","24,32",281.050,"6.935.793,86"
08/3/2023,"24,5400","1,4888%","24,18","24,68","23,76",303.639,"7.338.326,76"
07/3/2023,"24,1800","0,6661%","23,8","24,48","23,32",331.073,"7.932.348,02"
06/3/2023,"24,0200","-3,1452%","24,56","24,68","23,82",297.128,"7.148.010,10"
03/3/2023,"24,8000","0,4049%","24,7","24,94","24,56",193.796,"4.794.665,08"
02/3/2023,"24,7000","-1,9063%","25,18","25,18","24,66",260.354,"6.447.419,10"
01/3/2023,"25,1800","-1,3323%","25,52","25,52","25,14",367.017,"9.286.237,74"
28/2/2023,"25,5200","2,0800%",25,"25,52","24,96",548.805,"13.942.694,44"
24/2/2023,"25,0000","0,4016%","24,9","25,1","24,72",147.052,"3.664.249,28"
23/2/2023,"24,9000","0,0804%","24,92","25,12","24,74",166.342,"4.140.482,48"
22/2/2023,"24,8800","-1,2698%","25,2","25,38","24,58",288.135,"7.146.998,80"
21/2/2023,"25,2000","-1,0212%","25,32","25,46","24,94",377.360,"9.501.447,72"
20/2/2023,"25,4600","1,5152%","25,08","25,64","25,08",339.209,"8.583.218,10"
17/2/2023,"25,0800","1,9512%","24,5","25,5","24,3",686.237,"16.907.626,32"
16/2/2023,"24,6000","1,2346%","24,3","24,64","24,14",199.200,"4.864.945,78"
15/2/2023,"24,3000","0,0000%","24,3","24,3","23,82",622.616,"14.776.868,30"
14/2/2023,"24,3000","-1,2195%","24,6","24,84","24,02",609.119,"14.635.742,42"
13/2/2023,"24,6000","0,4082%","24,5","24,84","24,48",361.837,"8.912.509,56"
10/2/2023,"24,5000","-0,0816%","24,5","24,94","24,4",579.177,"14.135.174,56"
09/2/2023,"24,5200","0,0816%","24,5","24,52","24,18",228.136,"5.573.883,64"
08/2/2023,"24,5000","0,7401%","24,12","24,54","24,12",256.532,"6.257.251,82"
07/2/2023,"24,3200","1,6722%","23,92","24,36","23,8",263.291,"6.370.535,00"
06/2/2023,"23,9200","-0,3333%",24,"24,06","23,42",349.724,"8.328.149,76"
03/2/2023,"24,0000","-0,4975%","24,18","24,5","23,96",199.064,"4.815.164,32"
02/2/2023,"24,1200","1,3445%","23,8","24,32","23,8",213.646,"5.147.131,82"
01/2/2023,"23,8000","0,4219%","23,78",24,"23,3",320.235,"7.598.995,36"
31/1/2023,"23,7000","-3,2653%","24,5","24,56","23,7",525.648,"12.608.165,42"
30/1/2023,"24,5000","2,9412%","23,88","24,5","23,72",426.323,"10.375.816,76"
27/1/2023,"23,8000","2,9412%","23,3","23,8","23,04",280.514,"6.589.071,68"
26/1/2023,"23,1200","1,1374%","23,18","23,36","22,9",254.659,"5.873.044,90"
25/1/2023,"22,8600","0,4394%","22,96","23,02","22,34",325.580,"7.418.365,80"
24/1/2023,"22,7600","0,4413%","22,72","23,3","22,72",289.108,"6.639.859,32"
23/1/2023,"22,6600","2,0721%","22,36","22,66","22,1",1.378.547,"31.123.769,66"
20/1/2023,"22,2000","3,6415%","21,52","22,42","21,52",555.478,"12.320.661,66"
19/1/2023,"21,4200","-0,5571%","21,54","21,54","21,1",237.913,"5.060.787,58"
18/1/2023,"21,5400","0,7484%","21,5","21,66","21,36",722.061,"15.533.033,62"
17/1/2023,"21,3800","1,4231%","21,1","21,48","21,1",419.978,"8.965.865,50"
16/1/2023,"21,0800","3,6382%","20,46","21,34","20,22",412.018,"8.573.193,92"
13/1/2023,"20,3400","1,2948%","20,08","20,36","20,08",362.156,"7.313.977,24"
12/1/2023,"20,0800","-0,4955%","20,22","20,22",20,250.169,"5.031.127,18"
11/1/2023,"20,1800","0,5982%","20,04","20,36","19,96",340.762,"6.831.075,65"
10/1/2023,"20,0600","-0,5946%","20,18","20,34","19,94",289.210,"5.808.001,39"
09/1/2023,"20,1800","-1,0784%","20,46","20,54","20,1",2.999.925,"56.004.254,22"
05/1/2023,"20,4000","1,0902%","20,3","20,46","20,12",181.171,"3.676.753,90"
04/1/2023,"20,1800","-1,0784%","20,36","20,56","20,18",166.670,"3.396.010,86"
03/1/2023,"20,4000","1,0902%","20,16","20,4","20,16",94.901,"1.927.430,70"
02/1/2023,"20,1800","-0,5911%","20,3","20,38","20,14",66.518,"1.344.893,80"
30/12/2022,"20,3000","2,5253%","19,8","20,3","19,7",218.075,"4.375.828,49"
29/12/2022,"19,8000","0,1011%","19,77","19,86","19,63",101.436,"2.003.884,49"
28/12/2022,"19,7800","-1,0010%","19,98","19,98","19,67",178.652,"3.539.043,99"
27/12/2022,"19,9800","1,0111%","19,78","19,98","19,78",91.368,"1.822.078,45"
23/12/2022,"19,7800","-0,3024%","19,8","19,85","19,75",108.080,"2.139.491,15"
22/12/2022,"19,8400","-0,1007%","19,8",20,"19,79",135.476,"2.696.367,51"
21/12/2022,"19,8600","3,0083%","19,34","19,86","19,34",161.326,"3.171.043,83"
20/12/2022,"19,2800","-0,2587%","19,33","19,35","19,2",112.782,"2.175.258,68"
19/12/2022,"19,3300","-0,9734%","19,33","19,49","19,13",157.937,"3.043.176,68"
16/12/2022,"19,5200","-0,7121%","19,47","19,52",19,349.348,"6.749.296,69"
15/12/2022,"19,6600","-1,4042%","19,94",20,"19,42",240.147,"4.746.707,21"
14/12/2022,"19,9400","2,4140%","19,47","19,98","19,47",464.887,"9.210.280,56"
13/12/2022,"19,4700","3,0159%",19,"19,52","18,99",419.284,"8.105.371,08"
12/12/2022,"18,9000","0,2121%","18,86","18,9","18,74",208.078,"3.920.346,63"
09/12/2022,"18,8600","-0,4224%","18,94",19,"18,57",221.562,"4.184.196,50"
08/12/2022,"18,9400","0,8520%","18,9","18,96","18,58",293.832,"5.541.101,50"
07/12/2022,"18,7800","1,5684%","18,48","18,89","18,41",421.660,"7.876.645,90"
06/12/2022,"18,4900","0,9831%","18,34","18,52","18,25",307.347,"5.648.684,52"
05/12/2022,"18,3100","1,7222%","17,91","18,4","17,91",226.950,"4.148.409,64"
02/12/2022,"18,0000","-0,2217%","18,08","18,08","17,9",339.509,"6.106.605,27"
01/12/2022,"18,0400","0,5574%","17,94","18,08","17,84",213.936,"3.846.535,69"
30/11/2022,"17,9400","0,2795%","17,9","18,05","17,68",759.614,"13.616.118,70"
29/11/2022,"17,8900","1,5323%","17,76","17,89","17,68",231.189,"4.114.843,89"
28/11/2022,"17,6200","-0,8441%","17,71","17,79","17,6",177.161,"3.134.516,07"
25/11/2022,"17,7700","1,6009%","17,49","17,8","17,47",160.191,"2.832.972,26"
24/11/2022,"17,4900","1,1567%","17,3","17,52","17,3",260.525,"4.540.116,59"
23/11/2022,"17,2900","0,7576%","17,09","17,3","17,09",271.648,"4.681.829,95"
22/11/2022,"17,1600","0,5862%",17,"17,18","16,95",203.097,"3.476.292,26"
21/11/2022,"17,0600","0,7084%","16,94","17,07","16,85",158.234,"2.684.651,18"
18/11/2022,"16,9400","0,5341%","16,85","16,96","16,83",196.427,"3.323.906,73"
17/11/2022,"16,8500","-0,5313%","16,94","16,96","16,68",140.993,"2.368.059,76"
16/11/2022,"16,9400","-0,2356%",17,17,"16,74",176.409,"2.977.543,50"
15/11/2022,"16,9800","-0,0589%","16,94","17,01","16,94",175.618,"2.982.630,38"
14/11/2022,"16,9900","0,0000%","16,99","16,99","16,83",121.767,"2.061.769,98"
11/11/2022,"16,9900","-0,4103%","17,09","17,17","16,89",257.359,"4.378.505,26"
10/11/2022,"17,0600","0,2939%","16,83","17,11","16,79",194.375,"3.302.877,10"
09/11/2022,"17,0100","0,1177%","16,99","17,01","16,7",172.404,"2.915.034,76"
08/11/2022,"16,9900","-0,5269%","17,02","17,15","16,83",122.167,"2.071.947,69"
07/11/2022,"17,0800","0,4115%",17,"17,16","16,83",129.032,"2.197.979,63"
04/11/2022,"17,0100","1,1296%","16,9","17,01","16,8",197.682,"3.353.796,16"
03/11/2022,"16,8200","-0,7084%","16,72","16,82","16,6",200.303,"3.348.124,88"
02/11/2022,"16,9400","1,9868%","16,7","16,94","16,67",144.471,"2.428.037,59"
01/11/2022,"16,6100","-2,1790%","16,98","17,04","16,6",162.101,"2.721.958,45"
31/10/2022,"16,9800","1,5550%","16,7","16,98","16,53",282.348,"4.747.167,27"
27/10/2022,"16,7200","0,1198%","16,61","16,73","16,58",182.616,"3.042.214,88"
26/10/2022,"16,7000","-0,2985%","16,84","16,84","16,61",233.937,"3.906.092,12"
25/10/2022,"16,7500","-0,0597%","16,9","16,92","16,6",318.799,"5.337.681,53"
24/10/2022,"16,7600","2,1951%","16,39",17,"16,39",494.252,"8.295.532,49"
21/10/2022,"16,4000","1,2346%","16,2","16,4",16,238.366,"3.860.235,96"
20/10/2022,"16,2000","0,9975%",16,"16,24","15,93",243.640,"3.923.047,17"
19/10/2022,"16,0400","0,3755%","16,09","16,09","15,94",230.604,"3.691.635,49"
18/10/2022,"15,9800","0,5664%","15,92","16,08","15,85",525.233,"8.376.962,41"
17/10/2022,"15,8900","3,7884%","15,3","15,89","15,2",341.329,"5.352.718,06"
14/10/2022,"15,3100","2,7517%","15,15","15,41","15,1",264.645,"4.040.035,56"
13/10/2022,"14,9000","0,6077%","14,81","15,03","14,81",296.546,"4.428.536,28"
12/10/2022,"14,8100","1,7869%","14,6","14,93","14,57",518.695,"7.619.387,00"
11/10/2022,"14,5500","-1,0204%","14,7","14,7","14,37",176.364,"2.559.232,19"
10/10/2022,"14,7000","0,6849%","14,54","14,74","14,41",223.174,"3.257.947,97"
07/10/2022,"14,6000","-1,2847%","14,72","14,89","14,6",269.748,"3.977.958,99"
06/10/2022,"14,7900","-0,7383%",15,"15,02","14,78",294.334,"4.377.634,31"
05/10/2022,"14,9000","-0,2677%","14,94","15,07","14,73",262.544,"3.899.558,07"
04/10/2022,"14,9400","2,3288%","14,71","14,94","14,71",308.457,"4.584.259,44"
03/10/2022,"14,6000","4,3603%","13,99","14,6","13,84",163.232,"2.325.791,97"
30/9/2022,"13,9900","0,6475%","13,9","14,17","13,76",502.554,"6.998.337,24"
29/9/2022,"13,9000","2,5074%","13,62","14,17","13,58",624.658,"8.649.045,04"
28/9/2022,"13,5600","-0,8047%","13,6","13,72","13,33",407.498,"5.526.467,31"
27/9/2022,"13,6700","1,4848%","13,84","13,88","13,53",348.307,"4.761.654,43"
26/9/2022,"13,4700","-1,6788%","13,67","13,83","13,33",349.591,"4.720.594,52"
23/9/2022,"13,7000","-2,6989%","14,15","14,21","13,7",240.895,"3.344.813,87"
22/9/2022,"14,0800","-1,9499%","14,16","14,27","14,08",185.078,"2.616.710,64"
21/9/2022,"14,3600","0,0697%","14,1","14,36","14,1",207.552,"2.961.806,60"
20/9/2022,"14,3500","-0,8293%","14,54","14,67","14,35",114.118,"1.653.249,27"
19/9/2022,"14,4700","0,9066%","14,34","14,56","14,13",149.158,"2.139.177,04"
